"Solubility, gбдl-1",Saturation,"Temperature (Solubility (MCS)), буC",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,,,,,,"soluble in Krebs-Ringer buffer, PBS buffer, 0.1M HCl, 0.1M NaOH, artificial gastric juice","Ma, Guo;?Zhang, Lin;?Zhang, Peng;?Bao, Xingfei;?Zhou, Ning;?Shi, Qingling;?Zheng, Yuanting;?(бн)?Zhu, Yizhun;?Cai, Weimin[Xenobiotica,?2015, vol. 45, # 4, p. 322 - 334]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
0.006,in pure solvent,25,chloroform,chloroform (10 ml),,,"Ma, Guo;?Zhang, Lin;?Zhang, Peng;?Bao, Xingfei;?Zhou, Ning;?Shi, Qingling;?Zheng, Yuanting;?(бн)?Zhu, Yizhun;?Cai, Weimin[Xenobiotica,?2015, vol. 45, # 4, p. 322 - 334]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
0.006,in pure solvent,25,ethyl acetate,ethyl acetate (10 ml),,,"Ma, Guo;?Zhang, Lin;?Zhang, Peng;?Bao, Xingfei;?Zhou, Ning;?Shi, Qingling;?Zheng, Yuanting;?(бн)?Zhu, Yizhun;?Cai, Weimin[Xenobiotica,?2015, vol. 45, # 4, p. 322 - 334]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
0.006,in pure solvent,25,hexane,hexane (10 ml),,,"Ma, Guo;?Zhang, Lin;?Zhang, Peng;?Bao, Xingfei;?Zhou, Ning;?Shi, Qingling;?Zheng, Yuanting;?(бн)?Zhu, Yizhun;?Cai, Weimin[Xenobiotica,?2015, vol. 45, # 4, p. 322 - 334]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
0.006,in pure solvent,37,chloroform,chloroform (10 ml),,,"Ma, Guo;?Zhang, Lin;?Zhang, Peng;?Bao, Xingfei;?Zhou, Ning;?Shi, Qingling;?Zheng, Yuanting;?(бн)?Zhu, Yizhun;?Cai, Weimin[Xenobiotica,?2015, vol. 45, # 4, p. 322 - 334]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
0.006,in pure solvent,37,ethyl acetate,ethyl acetate (10 ml),,,"Ma, Guo;?Zhang, Lin;?Zhang, Peng;?Bao, Xingfei;?Zhou, Ning;?Shi, Qingling;?Zheng, Yuanting;?(бн)?Zhu, Yizhun;?Cai, Weimin[Xenobiotica,?2015, vol. 45, # 4, p. 322 - 334]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
0.006,in pure solvent,37,hexane,hexane (10 ml),,,"Ma, Guo;?Zhang, Lin;?Zhang, Peng;?Bao, Xingfei;?Zhou, Ning;?Shi, Qingling;?Zheng, Yuanting;?(бн)?Zhu, Yizhun;?Cai, Weimin[Xenobiotica,?2015, vol. 45, # 4, p. 322 - 334]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
0.016,in pure solvent,25,octanol,octan-1-ol (10 ml),,,"Ma, Guo;?Zhang, Lin;?Zhang, Peng;?Bao, Xingfei;?Zhou, Ning;?Shi, Qingling;?Zheng, Yuanting;?(бн)?Zhu, Yizhun;?Cai, Weimin[Xenobiotica,?2015, vol. 45, # 4, p. 322 - 334]"
