"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,in solution,18.31,ethanol,,,Solubility: 15.8 molpercent,"Mao, Zhi-Bo;?Luo, Ting-Liang;?Cui, Tie-Bing;?Wang, Yu;?Liu, Guo-Ji[Journal of Chemical and Engineering Data,?2010, vol. 55, # 1, p. 543 - 546]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in solution,20.67,ethanol,,,Solubility: 18.1 molpercent,"Mao, Zhi-Bo;?Luo, Ting-Liang;?Cui, Tie-Bing;?Wang, Yu;?Liu, Guo-Ji[Journal of Chemical and Engineering Data,?2010, vol. 55, # 1, p. 543 - 546]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in solution,22.4,ethanol,,,Solubility: 19.9 molpercent,"Mao, Zhi-Bo;?Luo, Ting-Liang;?Cui, Tie-Bing;?Wang, Yu;?Liu, Guo-Ji[Journal of Chemical and Engineering Data,?2010, vol. 55, # 1, p. 543 - 546]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in solution,24.39,ethanol,,,Solubility: 22.8 molpercent,"Mao, Zhi-Bo;?Luo, Ting-Liang;?Cui, Tie-Bing;?Wang, Yu;?Liu, Guo-Ji[Journal of Chemical and Engineering Data,?2010, vol. 55, # 1, p. 543 - 546]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in solution,25.99,ethanol,,,Solubility: 25.2 molpercent,"Mao, Zhi-Bo;?Luo, Ting-Liang;?Cui, Tie-Bing;?Wang, Yu;?Liu, Guo-Ji[Journal of Chemical and Engineering Data,?2010, vol. 55, # 1, p. 543 - 546]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in solution,28.12,ethanol,,,Solubility: 27.8 molpercent,"Mao, Zhi-Bo;?Luo, Ting-Liang;?Cui, Tie-Bing;?Wang, Yu;?Liu, Guo-Ji[Journal of Chemical and Engineering Data,?2010, vol. 55, # 1, p. 543 - 546]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in solution,29.8,ethanol,,,Solubility: 30.4 molpercent,"Mao, Zhi-Bo;?Luo, Ting-Liang;?Cui, Tie-Bing;?Wang, Yu;?Liu, Guo-Ji[Journal of Chemical and Engineering Data,?2010, vol. 55, # 1, p. 543 - 546]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in solution,31.67,ethanol,,,Solubility: 33.2 molpercent,"Mao, Zhi-Bo;?Luo, Ting-Liang;?Cui, Tie-Bing;?Wang, Yu;?Liu, Guo-Ji[Journal of Chemical and Engineering Data,?2010, vol. 55, # 1, p. 543 - 546]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in solution,33.8,ethanol,,,Solubility: 36 molpercent,"Mao, Zhi-Bo;?Luo, Ting-Liang;?Cui, Tie-Bing;?Wang, Yu;?Liu, Guo-Ji[Journal of Chemical and Engineering Data,?2010, vol. 55, # 1, p. 543 - 546]"
,,,,,,,Full Text
