"Solubility, g¡¤l-1",Saturation,"Temperature (Solubility (MCS)), ¡ãC",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,,24.84,,,,"more soluble in 1-decyl-3-methylimidazoliumbis(trifluorosulfonyl)amide, 1-butyl-3-methylimidazolium tricyanomethanide and less soluble in butylmethylpyrrolidiniumbis(trifluorosulfonyl)amide","Andanson, Jean-Michel;?Costa, Anabela J. L.;?Gomes, Margarida F. Costa;?Szala-Bilnik, Joanna;?Bordes, ?milie;?Esperan?a, Jos¨¦ M. S. S.;?Lopes, Jos¨¦ N. Canongia;?P¨¢dua, Ag¨ªlio A. H.[Physical Chemistry Chemical Physics,?2017, vol. 19, # 40, p. 27694 - 27703]"
,,,,,,,Full Text
,,,,,,,Cited 10 timesDetailsAbstract
,,,,,,soluble in liquid and supercritical isobutane,"Martinez, Fabiola;?Martin, Alicia;?Rincon, Jesusa[Journal of Chemical and Engineering Data,?2012, vol. 57, # 11, p. 2928 - 2935]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
13.1892,in pure solvent,25.04,"cyclohexanone, ethyl acetate",cyclohexanone (0.096 mol); ethyl acetate (0.904 mol),,,"Jouyban, Abolghasem;?Manzoori, Jamshid L.;?Panahi-Azar, Vahid;?Soleymani, Jafar;?Fakhree, Mohammad A. A.;?Shayanfar, Ali;?Acree, William E.[Journal of Chemical and Engineering Data,?2010, vol. 55, # 7, p. 2607 - 2609]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
13.9022,in pure solvent,25.04,"cyclohexanone, ethyl acetate",cyclohexanone (0.193 mol); ethyl acetate (0.807 mol),,,"Jouyban, Abolghasem;?Manzoori, Jamshid L.;?Panahi-Azar, Vahid;?Soleymani, Jafar;?Fakhree, Mohammad A. A.;?Shayanfar, Ali;?Acree, William E.[Journal of Chemical and Engineering Data,?2010, vol. 55, # 7, p. 2607 - 2609]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
15.1498,in pure solvent,25.04,"cyclohexanone, ethyl acetate",cyclohexanone (0.29 mol); ethyl acetate (0.71 mol),,,"Jouyban, Abolghasem;?Manzoori, Jamshid L.;?Panahi-Azar, Vahid;?Soleymani, Jafar;?Fakhree, Mohammad A. A.;?Shayanfar, Ali;?Acree, William E.[Journal of Chemical and Engineering Data,?2010, vol. 55, # 7, p. 2607 - 2609]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
16.7539,in pure solvent,25.04,"cyclohexanone, ethyl acetate",cyclohexanone (0.389 mol); ethyl acetate (0.611 mol),,,"Jouyban, Abolghasem;?Manzoori, Jamshid L.;?Panahi-Azar, Vahid;?Soleymani, Jafar;?Fakhree, Mohammad A. A.;?Shayanfar, Ali;?Acree, William E.[Journal of Chemical and Engineering Data,?2010, vol. 55, # 7, p. 2607 - 2609]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
18.358,in pure solvent,25.04,"cyclohexanone, ethyl acetate",cyclohexanone (0.489 mol); ethyl acetate (0.511 mol),,,"Jouyban, Abolghasem;?Manzoori, Jamshid L.;?Panahi-Azar, Vahid;?Soleymani, Jafar;?Fakhree, Mohammad A. A.;?Shayanfar, Ali;?Acree, William E.[Journal of Chemical and Engineering Data,?2010, vol. 55, # 7, p. 2607 - 2609]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
19.0709,in pure solvent,25.04,"cyclohexanone, ethyl acetate",cyclohexanone (0.589 mol); ethyl acetate (0.411 mol),,,"Jouyban, Abolghasem;?Manzoori, Jamshid L.;?Panahi-Azar, Vahid;?Soleymani, Jafar;?Fakhree, Mohammad A. A.;?Shayanfar, Ali;?Acree, William E.[Journal of Chemical and Engineering Data,?2010, vol. 55, # 7, p. 2607 - 2609]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
20.3186,in pure solvent,25.04,"cyclohexanone, ethyl acetate",cyclohexanone (0.69 mol); ethyl acetate (0.31 mol),,,"Jouyban, Abolghasem;?Manzoori, Jamshid L.;?Panahi-Azar, Vahid;?Soleymani, Jafar;?Fakhree, Mohammad A. A.;?Shayanfar, Ali;?Acree, William E.[Journal of Chemical and Engineering Data,?2010, vol. 55, # 7, p. 2607 - 2609]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
22.1009,in pure solvent,25.04,"cyclohexanone, ethyl acetate",cyclohexanone (0.793 mol); ethyl acetate (0.207 mol),,,"Jouyban, Abolghasem;?Manzoori, Jamshid L.;?Panahi-Azar, Vahid;?Soleymani, Jafar;?Fakhree, Mohammad A. A.;?Shayanfar, Ali;?Acree, William E.[Journal of Chemical and Engineering Data,?2010, vol. 55, # 7, p. 2607 - 2609]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
22.2791,in pure solvent,25.04,"cyclohexanone, ethyl acetate",cyclohexanone (0.896 mol); ethyl acetate (0.104 mol),,,"Jouyban, Abolghasem;?Manzoori, Jamshid L.;?Panahi-Azar, Vahid;?Soleymani, Jafar;?Fakhree, Mohammad A. A.;?Shayanfar, Ali;?Acree, William E.[Journal of Chemical and Engineering Data,?2010, vol. 55, # 7, p. 2607 - 2609]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
2.31703,in pure solvent,25.04,"cyclohexanone, methanol",cyclohexanone (0.042 mol); methanol (0.958 mol),,,"Jouyban, Abolghasem;?Manzoori, Jamshid L.;?Panahi-Azar, Vahid;?Soleymani, Jafar;?Fakhree, Mohammad A. A.;?Shayanfar, Ali;?Acree, William E.[Journal of Chemical and Engineering Data,?2010, vol. 55, # 7, p. 2607 - 2609]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
2.85173,in pure solvent,25.04,"cyclohexanone, methanol",cyclohexanone (0.089 mol); methanol (0.911 mol),,,"Jouyban, Abolghasem;?Manzoori, Jamshid L.;?Panahi-Azar, Vahid;?Soleymani, Jafar;?Fakhree, Mohammad A. A.;?Shayanfar, Ali;?Acree, William E.[Journal of Chemical and Engineering Data,?2010, vol. 55, # 7, p. 2607 - 2609]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
3.92113,in pure solvent,25.04,"cyclohexanone, methanol",cyclohexanone (0.144 mol); methanol (0.856 mol),,,"Jouyban, Abolghasem;?Manzoori, Jamshid L.;?Panahi-Azar, Vahid;?Soleymani, Jafar;?Fakhree, Mohammad A. A.;?Shayanfar, Ali;?Acree, William E.[Journal of Chemical and Engineering Data,?2010, vol. 55, # 7, p. 2607 - 2609]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
6.05992,in pure solvent,25.04,"cyclohexanone, methanol",cyclohexanone (0.207 mol); methanol (0.793 mol),,,"Jouyban, Abolghasem;?Manzoori, Jamshid L.;?Panahi-Azar, Vahid;?Soleymani, Jafar;?Fakhree, Mohammad A. A.;?Shayanfar, Ali;?Acree, William E.[Journal of Chemical and Engineering Data,?2010, vol. 55, # 7, p. 2607 - 2609]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
6.95109,in pure solvent,25.04,"cyclohexanone, methanol",cyclohexanone (0.281 mol); methanol (0.719 mol),,,"Jouyban, Abolghasem;?Manzoori, Jamshid L.;?Panahi-Azar, Vahid;?Soleymani, Jafar;?Fakhree, Mohammad A. A.;?Shayanfar, Ali;?Acree, William E.[Journal of Chemical and Engineering Data,?2010, vol. 55, # 7, p. 2607 - 2609]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
9.98105,in pure solvent,25.04,"cyclohexanone, methanol",cyclohexanone (0.37 mol); methanol (0.63 mol),,,"Jouyban, Abolghasem;?Manzoori, Jamshid L.;?Panahi-Azar, Vahid;?Soleymani, Jafar;?Fakhree, Mohammad A. A.;?Shayanfar, Ali;?Acree, William E.[Journal of Chemical and Engineering Data,?2010, vol. 55, # 7, p. 2607 - 2609]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
12.1198,in pure solvent,25.04,"cyclohexanone, methanol",cyclohexanone (0.477 mol); methanol (0.523 mol),,,"Jouyban, Abolghasem;?Manzoori, Jamshid L.;?Panahi-Azar, Vahid;?Soleymani, Jafar;?Fakhree, Mohammad A. A.;?Shayanfar, Ali;?Acree, William E.[Journal of Chemical and Engineering Data,?2010, vol. 55, # 7, p. 2607 - 2609]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
16.9321,in pure solvent,25.04,"cyclohexanone, methanol",cyclohexanone (0.61 mol); methanol (0.39 mol),,,"Jouyban, Abolghasem;?Manzoori, Jamshid L.;?Panahi-Azar, Vahid;?Soleymani, Jafar;?Fakhree, Mohammad A. A.;?Shayanfar, Ali;?Acree, William E.[Journal of Chemical and Engineering Data,?2010, vol. 55, # 7, p. 2607 - 2609]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
19.7839,in pure solvent,25.04,"cyclohexanone, methanol",cyclohexanone (0.779 mol); methanol (0.221 mol),,,"Jouyban, Abolghasem;?Manzoori, Jamshid L.;?Panahi-Azar, Vahid;?Soleymani, Jafar;?Fakhree, Mohammad A. A.;?Shayanfar, Ali;?Acree, William E.[Journal of Chemical and Engineering Data,?2010, vol. 55, # 7, p. 2607 - 2609]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
1.6041,in pure solvent,25.04,"ethyl acetate, methanol",ethyl acetate (0.044 mol); methanol (0.956 mol),,,"Jouyban, Abolghasem;?Manzoori, Jamshid L.;?Panahi-Azar, Vahid;?Soleymani, Jafar;?Fakhree, Mohammad A. A.;?Shayanfar, Ali;?Acree, William E.[Journal of Chemical and Engineering Data,?2010, vol. 55, # 7, p. 2607 - 2609]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
