"Solubility, gбдl-1",Saturation,"Temperature (Solubility (MCS)), буC",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
1,in pure solvent,20,tert-butyl methyl ether,,,,"Cimarosti, Zadeo;?Rossi, Sara;?Tramarin, Davide;?Laval, Gilles;?Stabile, Paolo;?Giubellina, Nicola;?Maton, William;?(бн)?Cooke, Jason;?Westerduin, Pieter[Organic Process Research and Development,?2012, vol. 16, # 10, p. 1598 - 1606]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
1,in pure solvent,20,Isopropyl acetate,,,,"Cimarosti, Zadeo;?Rossi, Sara;?Tramarin, Davide;?Laval, Gilles;?Stabile, Paolo;?Giubellina, Nicola;?Maton, William;?(бн)?Cooke, Jason;?Westerduin, Pieter[Organic Process Research and Development,?2012, vol. 16, # 10, p. 1598 - 1606]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
1,in pure solvent,50,tert-butyl methyl ether,,,,"Cimarosti, Zadeo;?Rossi, Sara;?Tramarin, Davide;?Laval, Gilles;?Stabile, Paolo;?Giubellina, Nicola;?Maton, William;?(бн)?Cooke, Jason;?Westerduin, Pieter[Organic Process Research and Development,?2012, vol. 16, # 10, p. 1598 - 1606]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
10,in pure solvent,60,butanone,,,,"Cimarosti, Zadeo;?Rossi, Sara;?Tramarin, Davide;?Laval, Gilles;?Stabile, Paolo;?Giubellina, Nicola;?Maton, William;?(бн)?Cooke, Jason;?Westerduin, Pieter[Organic Process Research and Development,?2012, vol. 16, # 10, p. 1598 - 1606]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
14,in pure solvent,70,isopropyl alcohol,,,,"Cimarosti, Zadeo;?Rossi, Sara;?Tramarin, Davide;?Laval, Gilles;?Stabile, Paolo;?Giubellina, Nicola;?Maton, William;?(бн)?Cooke, Jason;?Westerduin, Pieter[Organic Process Research and Development,?2012, vol. 16, # 10, p. 1598 - 1606]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
17,in pure solvent,20,tetrahydrofuran,,,,"Cimarosti, Zadeo;?Rossi, Sara;?Tramarin, Davide;?Laval, Gilles;?Stabile, Paolo;?Giubellina, Nicola;?Maton, William;?(бн)?Cooke, Jason;?Westerduin, Pieter[Organic Process Research and Development,?2012, vol. 16, # 10, p. 1598 - 1606]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
2,in pure solvent,60,Isopropyl acetate,,,,"Cimarosti, Zadeo;?Rossi, Sara;?Tramarin, Davide;?Laval, Gilles;?Stabile, Paolo;?Giubellina, Nicola;?Maton, William;?(бн)?Cooke, Jason;?Westerduin, Pieter[Organic Process Research and Development,?2012, vol. 16, # 10, p. 1598 - 1606]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
21,in pure solvent,20,dimethyl sulfoxide,,,,"Cimarosti, Zadeo;?Rossi, Sara;?Tramarin, Davide;?Laval, Gilles;?Stabile, Paolo;?Giubellina, Nicola;?Maton, William;?(бн)?Cooke, Jason;?Westerduin, Pieter[Organic Process Research and Development,?2012, vol. 16, # 10, p. 1598 - 1606]"
,,,,,,,Full Text
