"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
1.4,in solution,25,H2O,,,,"Maarse[Recueil des Travaux Chimiques des Pays-Bas,?1914, vol. 33, p. 209]"
,,,,,,,Full Text
,,,,,,,Details
8.3,in solution,25,aq. ethanol (95percent),,,,"Maarse[Recueil des Travaux Chimiques des Pays-Bas,?1914, vol. 33, p. 209]"
,,,,,,,Full Text
,,,,,,,Details
24,in solution,25,acetone,,,,"Maarse[Recueil des Travaux Chimiques des Pays-Bas,?1914, vol. 33, p. 209]"
,,,,,,,Full Text
,,,,,,,Details
25,in solution,25,acetic acid,,,,"Maarse[Recueil des Travaux Chimiques des Pays-Bas,?1914, vol. 33, p. 209]"
,,,,,,,Full Text
,,,,,,,Details
