"Solubility, g¡¤l-1",Saturation,"Temperature (Solubility (MCS)), ¡ãC",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,,,,,,water-soluble,"Yoshimura, Motoyasu;?Miyake, Masateru;?Kawato, Tatsuya;?Bando, Masahiko;?Toda, Masafumi;?Kato, Yusuke;?Fukami, Toshiro;?Ozeki, Tetsuya[Crystal Growth and Design,?2017, vol. 17, # 2, p. 550 - 557]"
,,,,,,,Full Text
,,,,,,,Cited 56 timesDetailsAbstract
100,in pure solvent,25,methanol,,,,"Czerniak, Kamil;?Walkiewicz, Filip[New Journal of Chemistry,?2017, vol. 41, # 2, p. 530 - 539]"
,,,,,,,Full Text
,,,,,,,Cited 18 timesDetailsAbstract
100,in pure solvent,25,ethyl acetate,,,,"Czerniak, Kamil;?Walkiewicz, Filip[New Journal of Chemistry,?2017, vol. 41, # 2, p. 530 - 539]"
,,,,,,,Full Text
,,,,,,,Cited 18 timesDetailsAbstract
100,in pure solvent,25,isopropyl alcohol,,,,"Czerniak, Kamil;?Walkiewicz, Filip[New Journal of Chemistry,?2017, vol. 41, # 2, p. 530 - 539]"
,,,,,,,Full Text
,,,,,,,Cited 18 timesDetailsAbstract
100,in pure solvent,25,acetone,,,,"Czerniak, Kamil;?Walkiewicz, Filip[New Journal of Chemistry,?2017, vol. 41, # 2, p. 530 - 539]"
,,,,,,,Full Text
,,,,,,,Cited 18 timesDetailsAbstract
22,in pure solvent,25,water,,,,"Czerniak, Kamil;?Walkiewicz, Filip[New Journal of Chemistry,?2017, vol. 41, # 2, p. 530 - 539]"
,,,,,,,Full Text
,,,,,,,Cited 18 timesDetailsAbstract
33 - 100,in pure solvent,25,dimethyl sulfoxide,,,,"Czerniak, Kamil;?Walkiewicz, Filip[New Journal of Chemistry,?2017, vol. 41, # 2, p. 530 - 539]"
,,,,,,,Full Text
,,,,,,,Cited 18 timesDetailsAbstract
