group_index,solvent_1,solvent_2,compound_id,temperature,J0,J1,J2,solvent_1_pure,solvent_2_pure,rmse,r2,mape,logmape
6,174,962,10308,308.15,2133.334398181046,-2264.5581253240443,1982.4515570111728,0.0023,0.0001,6.05830333547842e-05,0.9954328797245321,3.6537741314043215,0.5627416966791786
7,174,962,10308,313.15,2317.0375163257554,-2505.8781399970394,2246.844093504501,0.0026,0.0001,6.523872368431858e-05,0.996137211076935,1.9665954836897859,0.293715037464746
8,174,962,10308,318.15,2531.078856038708,-2803.9609648754004,2581.310110779247,0.0028,0.0001,9.419223033257744e-05,0.9942002521509559,2.3843335325221893,0.37736700660602784
9,174,962,10308,323.15,2263.6383252801584,-2498.333392381427,2148.393453714291,0.0032,0.0002,7.268416047765235e-05,0.9974128158924022,1.6098600020888185,0.2067881102157565
10,174,962,10308,328.15,2502.265594431002,-2706.9496859140963,2318.5202219358735,0.0035,0.0002,0.0001248201238250451,0.9949002119225352,2.1246371683999135,0.3272847747553236
11,174,962,276224,278.15,563.1344230320582,333.91653686781683,-591.6441896431413,0.0015,0.0002,2.277445900710011e-05,0.99779325619019,4.078563265403535,0.6105072033362183
12,174,962,276224,283.15,509.3523341123106,396.92095766853527,-791.4096070294419,0.002,0.0003,2.6085292344429618e-05,0.9982293862434405,2.8833630206379297,0.45989932429412106
13,174,962,276224,288.15,512.9597162333627,450.93081184624276,-529.9519117797411,0.0024,0.0004,2.884032633400707e-05,0.9986355274513382,2.4710219758867282,0.3928766077913555
14,174,962,276224,293.15,652.0052127501278,209.23682596684657,-414.9462834804193,0.0031,0.0004,2.486997189489152e-05,0.9993784021947809,1.7901382839016668,0.2528865804859164
15,174,962,276224,298.15,654.3304382868961,243.84419409698228,-394.7105714263965,0.0038,0.0005,2.335106571735862e-05,0.9996360841440347,1.1360287336565653,0.05538931615552421
16,174,962,276224,303.15,555.1786690612162,421.14971665285066,-529.8904360919188,0.0045,0.0007,9.77513617710989e-06,0.9999543006017352,0.48722474443274033,-0.3122706635243864
17,174,962,276224,308.15,574.0061785731432,374.1753624313719,-518.0175987284267,0.0054,0.0008,2.2811583249918847e-05,0.9998245721387091,0.9469484471074127,-0.02367366381215438
18,174,962,276224,313.15,601.6375717774918,350.00502507999016,-486.37350753690407,0.0063,0.0009,1.9795920729564395e-05,0.9999030360807711,0.4236859716328696,-0.3729559153789844
19,174,962,276224,318.15,627.0619061624724,342.52172824113455,-522.8781461464405,0.0073,0.001,1.964062648220349e-05,0.9999290957629619,0.6307414218968793,-0.2001486471887997
20,174,962,276224,323.15,643.9389186227926,333.31621969306354,-435.139418796776,0.0082,0.0011,2.453586847035541e-05,0.9999137175805068,0.46214127093022245,-0.33522524564076983
21,174,962,620004,288.15,575.9960619100441,489.74649728276825,-708.2072516916699,0.0008,0.0001,2.789795156194324e-05,0.989125429576945,7.279548755278359,0.8621044590978638
22,174,962,620004,293.15,678.1494035991828,328.67538821079654,-273.50616742188924,0.0009,0.0001,1.8580827700865436e-05,0.9964233813250035,5.555710046930365,0.7447395717840596
23,174,962,620004,298.15,784.538397110865,260.05530246215477,-93.64497056843314,0.001,0.0001,2.9417129186529034e-05,0.9934801079552422,7.872015232642777,0.8960859258001019
24,174,962,620004,303.15,870.641466341422,290.6002604740021,-342.4601729523103,0.0012,0.0001,2.5184225583782023e-05,0.9965952230963251,7.235129818323414,0.8594463279741584
